tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CADM1	PLSCR1	CD28	ACTN4	ALDH1A3	CXCR5	KIF14	KLRD1	FOXP3	TNFRSF9	ATP1B3	MRPL23	EVL	RGS16	TNFRSF9	ICOS	CD200	CTSH	IFI6	PLA2G16	ITGAE	S1PR5	ITGAE	S1PR5	FOS	CREM	PPP1R15A	CD52	TOX	TOX	CTSW	XCL1	FGFBP2	NKG7	GNLY	ABCB6	ACSS1	LY6A	MAGOH	ABL1	ABCB6	ADAR	ABCB7	ABCC1	CTLA4	TBX21	UNC5A	BCL2	DMRTA1	SELL	CXCR6	SELL	B2M	ID2	PRDM1	CISH
CD1D	OAS1A	ICOS	ADORA2A	C9orf3	CXCL13	ASPM	ASCL2	IL2RA	CCR8	BCL2A1	MPDU1	INPP5D	TNFRSF9	IL1R2	GATA3	IFNG	CCR6	MX1	ZEB2	ZNF683	CX3CR1	GSG2	S1PR1	TNFAIP3	SAMSN1	JUN	ATP5E	HAVCR2	HAVCR2	GNLY	XCL2	GZMH	CCL5	NKG7	ADORA2B	ACSS2	RPL	EIF1	AMD1	ADORA2B	APOL6	ACAA1	ATOX1	IFNG	PRF1	XCL1	TCF7	EDARADD	NSG2	KLF2	IL7R	CAMK2A	ZEB2	HIF2A	ELP2
CD2	PGLYRP1	CD226	ADORA2B	CCND1	TOX2	2810417H13RIK	CMKLR1	RTKN2	IL1R2	C10orf54	STX11	PTPRC	CSF2	FOXP3	PKIA	XCL1	LGALS3	IFI44L	IL13	LDLRAD4	S1PR1	GZMB	FOS	JUNB	SRGN	DNAJA1	IL32	LAG3	LAG3	GZMA	TNFRSF9	GNLY	CMC1	GZMH	AGL	ADH1A	SNORA	E2F7	ARID4A	AGL	ARID5B	ACAA2	CAT	GZMB	BHLHE40	YES1	IL7R	PRSS12	SLFN5	KLF3	CD127	CAMK2B	KLRG1		IFNG
CD24	RSAD2	CRTAM	AGT	CD44	C20ORF100	NEK2	CD8B	SNORA14	TNFRSF18	CALR	TSPAN17	LCK	CCL20	HLA-DRB1	RAB8B	CST7	IL2RA	ISG20	PPARG	MIR4461	PRSS23	MYO7A	PLAC8	ZFP36	SRSF5	GADD45B		ENTPD1	ENTPD1	GZMB	CRTAM	NKG7	CST7	CCL5	AGRN	ADH1B		CDK4	ATF5	AGRN	ARL4A	ACADM	CDKN2D	IL2RA	CD44	CDH1	FOXO3	CNRIP1	CNR2	S1PR4	CD25	CAMK2D	S1PR5		IFNGR1
CD276	LYZ2	HAVCR1	ANGPTL2	CDKN1A	ICA1	NUF2	NMUR1	IKZF4	TNFRSF4	CCL20	MRPS12	PTPRJ	TNFRSF4	CD74	NR4A3	CXCR3	EMP3	ISG15	GZMB	SPRY1	FCRL3	GPR25	TCF7	FOSB	BIRC3	HSP90AB1		PDCD1	PDCD1	GZMH	ATP1B3	GZMB	GZMH	S100A4	AK3	ADH1C		FUS	ATRX	AK3	AUTS2	ACADSB	EGLN2	IL2	KLRE1	MYO3B		AQP9		S1PR1	CD69	CD44	CXCR3		JAK1
CD28	SOSTDC1	CD2	ANKRD28	CDKN1C	PDCD1	DTL	SPON2	MAGEH1	LAYN	CCND2	MRPL20	IKBKG	PSMA6	HLA-DQB1	NDFIP2	IRF8	EED	LY6E	PIM1	ABCC9	FGFBP2	LAYN	KLRG1	TSC22D3	PHLDA1	NEU1		CTLA4	CTLA4	IFNG	TAGAP	B2M	HLA-B	CD52	AK4	ADH4		HIST1H2AC	AURKA	AK4	B2M	ACADVL	ERCC2		IL12RB2	DOCK9		BCL2			CD44	CIITA	CX3CR1		JAK2
CD3D	GEM	SLAMF1	ANP32A	CDKN2A	FAM43A	CDC2A	GPR56	TNFRSF1B	CST7	CCT2	HSPA9	TRAT1	TNF	LINC00152	LIMA1	KLRG1	S100A4	IFIT3	SOCS2	OPHN1	LINC00987	KRT86	CCR7	KLF6	STAT3	HSPA6		CD38	CD38	KLRB1	SLA	S100A4	PFN1	B2M	AKR1A1	ADH5		ATF6	AURKB	AKR1A1	BANK1	ACAT1	FES			ATN1					KLRG1	FCGR1A	ITGAM		PLA2G2A
CD3E	ANXA2	SLAMF6	ARFIP1	CDKN2B	PVALB	4930547N16RIK	PRF1	GTSF1L	LAIR2	CD200	BCCIP	PIK3R1	BCL2L1	HLA-DRB5	IL2	TBX21	C10orf128	MX2	HRASLS5	SNTB2	ADGRG1	STMN1	FCGR3A	IL7R	ETS1	AC006129.2		TIGIT	TIGIT	KLRD1	NR4A2	HLA-C	GZMA	FGFBP2	ALDH7A1	ADH6		TAF15	BARD1	ALDH7A1	BATF2	ACO2	FTL								CCR7	FCGR1B			PTPRU
CD4	RGS16	CD84	BNIP3	CDKN2D	SCGB3A1	HAVCR2	CCL4	AC074289.1	CXCR6	CD40LG	C19orf24	CD4	PSMB2	MEOX1	PRKCA	HOPX	S100A6	XAF1	PXDC1	LOC102724699	PLEK	PDCD1	CCDC109B	ANXA1	ETV1	HSP90AA1		VCAM1	VCAM1	KLRK1	IFNG	CCL5	ACTB	LGALS1	ALDH9A1	ADH7		CDT1	BCL3	ALDH9A1	BPGM	AFG3L2	G6PD								CD45RA	GBP1			REG1A
CD47	EFNB2	LY9	CASP4	CITED2	ASCL2	SPAG5	GZMB	IKZF2	ICOS	CD69	FARSA	UBA52	NFKBIA	CTLA4	IL17RB	LYAR	MYO1G	OAS3	FANK1	GPR155	LIMD2	RBPJ	SELL	RGCC	NEAT1	HSPE1		CD27	CD27	NKG7	TNFRSF1B	CST7	B2M	GZMB	ALDOA	AKR1A1		HIRA	BIRC5	ALDOA	BST2	AIFM1	GCLC								CD45RO	GBP2			STAT1
